"","gender","ethnicity","score","fcollege","mcollege","home","urban","unemp","wage","distance","tuition","education","income","region","wealth","pgraduate"
"1","Male","Other",39.1500015258789,"Yes","No","Yes","Yes",6.19999980926514,8.09000015258789,0.200000002980232,0.889150023460388,12,">$25k","other","Wealthy","Graduate parents"
"2","Female","Other",48.8699989318848,"No","No","Yes","Yes",6.19999980926514,8.09000015258789,0.200000002980232,0.889150023460388,12,"<$25k","other","Partially wealthy","No graduate parents"
"3","Male","Other",48.7400016784668,"No","No","Yes","Yes",6.19999980926514,8.09000015258789,0.200000002980232,0.889150023460388,12,"<$25k","other","Partially wealthy","No graduate parents"
"4","Male","African-American",40.4000015258789,"No","No","Yes","Yes",6.19999980926514,8.09000015258789,0.200000002980232,0.889150023460388,12,"<$25k","other","Partially wealthy","No graduate parents"
"5","Female","Other",40.4799995422363,"No","No","No","Yes",5.59999990463257,8.09000015258789,0.400000005960464,0.889150023460388,13,"<$25k","other","Not wealthy","No graduate parents"
"6","Male","Other",54.7099990844727,"No","No","Yes","Yes",5.59999990463257,8.09000015258789,0.400000005960464,0.889150023460388,12,"<$25k","other","Partially wealthy","No graduate parents"
"7","Female","Other",56.0699996948242,"No","No","Yes","No",7.19999980926514,8.85000038146973,0.400000005960464,0.84987998008728,13,"<$25k","other","Partially wealthy","No graduate parents"
"8","Female","Other",54.8499984741211,"No","No","Yes","No",7.19999980926514,8.85000038146973,0.400000005960464,0.84987998008728,15,"<$25k","other","Partially wealthy","No graduate parents"
"9","Male","Other",64.7399978637695,"Yes","No","Yes","Yes",5.90000009536743,8.09000015258789,3,0.889150023460388,13,"<$25k","other","Partially wealthy","Graduate parents"
"10","Female","Other",56.060001373291,"No","No","Yes","Yes",5.90000009536743,8.09000015258789,3,0.889150023460388,15,"<$25k","other","Partially wealthy","No graduate parents"
"11","Female","Other",42.2200012207031,"No","No","Yes","Yes",5.90000009536743,8.09000015258789,3,0.889150023460388,12,">$25k","other","Wealthy","No graduate parents"
"12","Female","African-American",61.1800003051758,"No","Yes","Yes","Yes",5.90000009536743,8.09000015258789,3,0.889150023460388,14,">$25k","other","Wealthy","Graduate parents"
"13","Male","Other",59.8499984741211,"No","No","Yes","No",7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,15,"<$25k","other","Partially wealthy","No graduate parents"
"14","Female","Other",58.7700004577637,"Yes","No","Yes","No",7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,17,">$25k","other","Wealthy","Graduate parents"
"15","Female","African-American",53.7200012207031,"Yes","Yes","Yes","No",7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,14,"<$25k","other","Partially wealthy","Graduate parents"
"16","Male","Other",61.5200004577637,"No","No","Yes","No",7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,15,"<$25k","other","Partially wealthy","No graduate parents"
"17","Female","Other",52.5299987792969,"No","No","Yes","No",7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,12,">$25k","other","Wealthy","No graduate parents"
"18","Female","Other",45.0099983215332,"No","No","Yes","No",7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,12,"<$25k","other","Partially wealthy","No graduate parents"
"19","Female","Other",57.7099990844727,"No","No","Yes","No",7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,16,"<$25k","other","Partially wealthy","No graduate parents"
"20","Female","Other",59.3600006103516,"Yes","Yes","Yes","No",7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,16,">$25k","other","Wealthy","Graduate parents"
"21","Female","Other",50.9300003051758,"No","No","Yes","No",7.69999980926514,7.03999996185303,0.5,0.902999997138977,13,"<$25k","other","Partially wealthy","No graduate parents"
"22","Male","Other",59.560001373291,"Yes","No","Yes","No",7.69999980926514,7.03999996185303,0.5,0.902999997138977,14,">$25k","other","Wealthy","Graduate parents"
"23","Male","Other",58.4599990844727,"Yes","Yes","Yes","No",7.69999980926514,7.03999996185303,0.5,0.902999997138977,13,"<$25k","other","Partially wealthy","Graduate parents"
"24","Female","Other",55.7000007629395,"No","No","No","No",7.69999980926514,7.03999996185303,0.5,0.902999997138977,16,"<$25k","other","Not wealthy","No graduate parents"
"25","Male","Other",60.810001373291,"No","No","Yes","No",7.69999980926514,7.03999996185303,0.5,0.902999997138977,15,"<$25k","other","Partially wealthy","No graduate parents"
"26","Female","African-American",40.5999984741211,"No","No","Yes","No",5.40000009536743,8.85000038146973,0.899999976158142,0.84987998008728,12,"<$25k","other","Partially wealthy","No graduate parents"
"27","Female","Other",49.9900016784668,"No","No","Yes","No",5.40000009536743,8.85000038146973,0.899999976158142,0.84987998008728,12,"<$25k","other","Partially wealthy","No graduate parents"
"28","Male","Other",59.689998626709,"No","No","Yes","Yes",5.09999990463257,8.85000038146973,0.5,0.84987998008728,15,"<$25k","other","Partially wealthy","No graduate parents"
"29","Male","Other",60.3300018310547,"No","No","Yes","Yes",5.09999990463257,8.85000038146973,0.5,0.84987998008728,16,"<$25k","other","Partially wealthy","No graduate parents"
